episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
1362.9899999999925,-401.2599999999875,480.8650000000025,1401.0,2,1,4000,False,2,1,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-49-58,1612842598,29.30623960494995,29.30623960494995,2723620,vll-davidfan,192.168.88.226,29.30623960494995,0,1,cd74c_00000,"[1362.9899999999925, -401.2599999999875]","[1524, 1278]",0.4789010491021959,0.09365887440493392,0.8801318680873605,0.027401809005908922,5983.56,668.498,23317.889,171.542,1.596,4000,4000,10.273809523809524,74.37619047619049,0.0,0.2,8e-06,0.4354990255087614,-0.03218904911773279,0.9450726360082626,0.05297623,0.0092424131144071,0.669672941789031,0.01
2816.2100000000482,-401.2599999999875,1733.1760000000086,1527.0,3,1,8000,False,5,2,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-50-27,1612842627,28.739078044891357,58.04531764984131,2723620,vll-davidfan,192.168.88.226,58.04531764984131,0,2,cd74c_00000,"[2190.4799999999705, 2697.460000000019, 2816.2100000000482, 1362.9899999999925, -401.2599999999875]","[1508, 1660, 1665, 1524, 1278]",0.48123017882411767,0.09431625233438456,0.8912359973503777,0.027397981641565577,6070.864,658.885,22947.055,174.314,1.427,8000,8000,10.42439024390244,74.4780487804878,0.0,0.2,8e-06,0.41702297143638134,-0.05136030586436391,0.9451957736164331,0.05353968,0.011553769698366523,0.6525367740541697,0.01
5059.4300000000185,-401.2599999999875,2491.558571428581,1615.857142857143,2,1,12000,False,7,3,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-50-56,1612842656,29.047725915908813,87.09304356575012,2723620,vll-davidfan,192.168.88.226,87.09304356575012,0,3,cd74c_00000,"[3715.6000000000076, 5059.4300000000185, 1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482]","[1746, 1930, 1524, 1278, 1508, 1660, 1665]",0.48143330932372336,0.09441395037336384,0.8925876010178576,0.027372850538415927,6053.366,660.789,22972.882,174.118,1.393,12000,12000,10.27142857142857,74.49285714285713,0.0,0.2,8e-06,0.39171745255589485,-0.0702200714731589,0.9300815761089325,0.06301862,0.01533013055450283,0.6169294025748968,0.01
5702.819999999994,-401.2599999999875,3026.802222222231,1693.3333333333333,2,1,16000,False,9,4,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-51-25,1612842685,28.513965368270874,115.607008934021,2723620,vll-davidfan,192.168.88.226,115.607008934021,0,4,cd74c_00000,"[5702.819999999994, 4097.490000000018, 1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482, 3715.6000000000076, 5059.4300000000185]","[2017, 1912, 1524, 1278, 1508, 1660, 1665, 1746, 1930]",0.4827529738220125,0.09441406640933973,0.8911532926052721,0.02734534234936126,6032.935,663.027,22864.024,174.947,1.397,16000,16000,10.258536585365855,74.5,0.0,0.2,8e-06,0.36234773392789066,-0.09058004664257169,0.9102861415594816,0.079701714,0.017918544821441174,0.579900098964572,0.01
12737.719999999998,-401.2599999999875,4476.568181818192,1755.1818181818182,2,1,20000,False,11,5,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-51-53,1612842713,28.457279205322266,144.06428813934326,2723620,vll-davidfan,192.168.88.226,144.06428813934326,0,5,cd74c_00000,"[9263.310000000041, 12737.719999999998, 1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482, 3715.6000000000076, 5059.4300000000185, 5702.819999999994, 4097.490000000018]","[2031, 2036, 1524, 1278, 1508, 1660, 1665, 1746, 1930, 2017, 1912]",0.48346361986903913,0.09442290278041708,0.8905851973582503,0.027330382828656238,6036.749,662.608,22771.339,175.659,1.388,20000,20000,10.245,74.5,0.0,0.2,8e-06,0.3487622616812587,-0.09215793973999098,0.8853358644992113,0.08314538,0.01774624493555166,0.5296985954046249,0.01
12737.719999999998,-401.2599999999875,5469.996153846161,1803.1538461538462,2,1,24000,False,13,6,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-52-22,1612842742,29.374919652938843,173.4392077922821,2723620,vll-davidfan,192.168.88.226,173.4392077922821,0,6,cd74c_00000,"[10661.929999999971, 11205.770000000011, 1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482, 3715.6000000000076, 5059.4300000000185, 5702.819999999994, 4097.490000000018, 9263.310000000041, 12737.719999999998]","[2095, 2039, 1524, 1278, 1508, 1660, 1665, 1746, 1930, 2017, 1912, 2031, 2036]",0.4845424246967944,0.09445135646999316,0.8899345974037911,0.02732987995695553,6045.106,661.692,22856.61,175.004,1.392,24000,24000,10.254761904761903,74.5,0.0,0.2,8e-06,0.32834685361012816,-0.09916033197077923,0.8581773582845926,0.09470714,0.016591668070759624,0.4899831423535943,0.01
12737.719999999998,-401.2599999999875,5469.996153846161,1803.1538461538462,0,1,28000,False,13,7,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-52-52,1612842772,29.088534116744995,202.5277419090271,2723620,vll-davidfan,192.168.88.226,202.5277419090271,0,7,cd74c_00000,"[1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482, 3715.6000000000076, 5059.4300000000185, 5702.819999999994, 4097.490000000018, 9263.310000000041, 12737.719999999998, 10661.929999999971, 11205.770000000011]","[1524, 1278, 1508, 1660, 1665, 1746, 1930, 2017, 1912, 2031, 2036, 2095, 2039]",0.4845424246967944,0.09445135646999316,0.8899345974037911,0.02732987995695553,6049.393,661.223,22878.349,174.838,1.382,28000,28000,10.226190476190476,74.50238095238095,0.0,0.2,8e-06,0.3975908546708524,-0.04530722713388968,0.889901164919138,0.08564255,0.007860031277232338,0.3624514825642109,0.01
12737.719999999998,-401.2599999999875,5469.996153846161,1803.1538461538462,0,1,32000,False,13,8,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-53-21,1612842801,29.018442153930664,231.54618406295776,2723620,vll-davidfan,192.168.88.226,231.54618406295776,0,8,cd74c_00000,"[1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482, 3715.6000000000076, 5059.4300000000185, 5702.819999999994, 4097.490000000018, 9263.310000000041, 12737.719999999998, 10661.929999999971, 11205.770000000011]","[1524, 1278, 1508, 1660, 1665, 1746, 1930, 2017, 1912, 2031, 2036, 2095, 2039]",0.4845424246967944,0.09445135646999316,0.8899345974037911,0.02732987995695553,6111.929,654.458,22826.588,175.234,1.371,32000,32000,10.451219512195122,74.56097560975608,0.0,0.2,8e-06,0.41786310030147433,-0.01972405839478597,0.8761675767600536,0.121418655,0.008996117208880605,0.22958589787594974,0.01
30333.51999999977,-401.2599999999875,7389.903333333325,2351.733333333333,2,1,36000,False,15,9,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-53-51,1612842831,29.945393085479736,261.4915771484375,2723620,vll-davidfan,192.168.88.226,261.4915771484375,0,9,cd74c_00000,"[30333.51999999977, 9405.080000000002, 1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482, 3715.6000000000076, 5059.4300000000185, 5702.819999999994, 4097.490000000018, 9263.310000000041, 12737.719999999998, 10661.929999999971, 11205.770000000011]","[9799, 2036, 1524, 1278, 1508, 1660, 1665, 1746, 1930, 2017, 1912, 2031, 2036, 2095, 2039]",0.48920488344400737,0.0944712634810665,0.889434663111672,0.027335088531091966,6159.167,649.438,22890.678,174.744,1.388,36000,36000,10.237209302325581,74.6,0.0,0.2,8e-06,0.36436973814852536,-0.06982313829939812,0.8725685738027096,0.09319031,0.012073767065885477,0.4506162302568555,0.01
30333.51999999977,-401.2599999999875,7748.5887499999935,2418.6875,1,1,40000,False,16,10,90ef25635be84642ba9fe85b265cf669,2021-02-09_11-54-19,1612842859,28.756314754486084,290.2478919029236,2723620,vll-davidfan,192.168.88.226,290.2478919029236,0,10,cd74c_00000,"[13128.870000000008, 1362.9899999999925, -401.2599999999875, 2190.4799999999705, 2697.460000000019, 2816.2100000000482, 3715.6000000000076, 5059.4300000000185, 5702.819999999994, 4097.490000000018, 9263.310000000041, 12737.719999999998, 10661.929999999971, 11205.770000000011, 30333.51999999977, 9405.080000000002]","[3423, 1524, 1278, 1508, 1660, 1665, 1746, 1930, 2017, 1912, 2031, 2036, 2095, 2039, 9799, 2036]",0.49106920275199784,0.09448411646428229,0.8893649038891716,0.027337136086340103,6165.954,648.724,22854.055,175.024,1.388,40000,40000,10.28048780487805,74.6,0.0,0.2,8e-06,0.3747092029079795,-0.07564285231637768,0.9042070489376783,0.06090031,0.013547709066187963,0.4461013888940215,0.01
